person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,362,1712,-36.053221,,,
unknown,363,1739,-51.055963,,,
unknown,364,1751,-70.607980,,,
unknown,365,1761,-94.117546,,,
unknown,366,1767,-117.899652,,,
unknown,367,1765,-140.561993,,,
unknown,368,1749,-160.927254,,,
unknown,369,1731,-177.018444,,,
unknown,370,1703,-188.226539,,,
unknown,371,1671,-192.966747,,,
unknown,372,1641,-192.018942,,,
unknown,373,1611,-184.297620,,,
unknown,374,1589,-172.305429,,,
unknown,375,1582,-155.826908,,,
unknown,376,1584,-136.803404,,,
unknown,377,1591,-115.964507,,,
unknown,378,1614,-96.031417,,,
unknown,379,1637,-78.235434,,,
unknown,380,1664,-63.115672,,,
unknown,381,1691,-52.227372,,,
unknown,382,1719,-45.889169,,,
unknown,383,1745,-45.228855,,,
unknown,384,1768,-49.149476,,,
unknown,385,1779,-58.342330,,,
unknown,386,1787,-70.430598,,,
unknown,387,1782,-85.307826,,,
unknown,388,1774,-101.521821,,,
unknown,389,1750,-118.226935,,,
unknown,390,1722,-133.153040,,,
unknown,391,1687,-145.171589,,,
unknown,392,1661,-154.155705,,,
unknown,393,1629,-158.772473,,,
unknown,394,1603,-159.449735,,,
unknown,395,1591,-155.383791,,,
unknown,396,1587,-147.515163,,,
unknown,397,1599,-135.541081,,,
unknown,398,1615,-121.726404,,,
unknown,399,1638,-106.358645,,,
unknown,400,1666,-90.539345,,,
unknown,401,1699,-75.167763,,,
unknown,402,1728,-61.618374,,,
unknown,403,1755,-50.867998,,,
unknown,404,1776,-43.316062,,,
unknown,405,1797,-39.988021,,,
unknown,406,1808,-39.796827,,,
unknown,407,1808,-43.372507,,,
unknown,408,1799,-49.964091,,,
unknown,409,1781,-59.595605,,,
unknown,410,1755,-70.110674,,,
unknown,411,1727,-81.119199,,,
unknown,412,1697,-91.935774,,,
unknown,413,1666,-101.663096,,,
unknown,414,1645,-109.233516,,,
unknown,415,1628,-113.815016,,,
unknown,416,1623,-115.408842,,,
unknown,417,1627,-113.199593,,,
unknown,418,1642,-108.463543,,,
unknown,419,1664,-100.829089,,,
unknown,420,1687,-91.002638,,,
unknown,421,1713,-79.165752,,,
unknown,422,1744,-67.445655,,,
unknown,423,1771,-56.346076,,,
unknown,424,1793,-46.126282,,,
unknown,425,1807,-37.705792,,,
unknown,426,1813,-31.588015,,,
unknown,427,1820,-28.445155,,,
unknown,428,1813,-28.137058,,,
unknown,429,1798,-31.216302,,,
unknown,430,1776,-36.302242,,,
